numero_processo
0036.024208/2023-10
0036.045951/2023-03
0050.069422/2022-28
0036.001045/2023-99
0036.035772/2023-50
0036.584502/2021-14
0036.002730/2023-32
0060.114123/2021-55
0049.011596/2023-11
0036.104652/2022-29
0059.000053/2023-50
0036.604200/2021-61
0036.072578/2022-74
0036.015456/2023-61
0036.015542/2023-74
0036.078018/2022-23
0036.021467/2023-81
0036.014572/2023-63
0036.019441/2023-72
0036.028422/2023-37
0036.011263/2023-31
0036.103747/2022-25
0036.084410/2022-10
0036.069121/2022-82
0036.494502/2021-15
0036.479994/2021-19
0053.376441/2021-05
0036.417402/2020-94
0036.077826/2022-73
0049.068032/2022-70
0036.005357/2023-71
0036.103898/2022-83
0036.097267/2022-18
0036.100793/2022-72
0005.004721/2023-43
0036.002407/2023-69
0036.010438/2023-93
0036.042461/2023-47
0036.036486/2023-10
0036.091999/2022-02
0036.011240/2023-27
0036.083713/2022-15
0036.465253/2021-51
0036.017764/2023-21
0050.002399/2023-72
0036.013798/2023-47
0036.094242/2022-62
0049.068029/2022-56
0049.388510/2021-84
0036.105011/2021-19
0036.104582/2020-47
0049.399406/2020-34
0036.369652/2020-19
0036.081909/2022-67
0049.075140/2022-07
0036.347150/2020-29
0036.143114/2021-79
0036.027357/2020-80
0063.068703/2022-14
0049.073242/2022-80
0053.336440/2021-10
0036.001891/2023-17
0059.000193/2023-28
0053.000736/2023-67
0036.092944/2022-10
0036.261086/2021-71
0036.274454/2021-41
0058.271771/2020-76
0036.077461/2022-87
0036.001814/2023-59
0036.001053/2023-35
0036.091795/2022-63
0036.001507/2023-78
0036.210689/2021-12
0036.001738/2023-81
0036.003295/2023-63
0036.004021/2023-91
0036.100360/2022-17
0036.004035/2023-13
0036.038997/2023-68
0036.004025/2023-70
0036.123736/2021-81
0036.007925/2023-79
0036.002158/2023-10
0036.085588/2022-70
0036.006667/2023-11
0036.008083/2023-72
0036.016307/2023-10
0036.381712/2021-44
0036.008722/2023-08
0036.005070/2023-41
0036.034754/2023-51
0036.087776/2022-32
0036.032799/2023-91
0036.029791/2023-47
0045.000109/2023-25
0062.000185/2023-22
0036.026660/2023-16
0036.015110/2023-63
0036.007180/2023-48
0036.006652/2023-45
0049.003612/2023-01
0049.000444/2023-93
0036.110215/2022-44
0036.046186/2023-31
0036.019440/2023-28
0036.072538/2022-22
0036.013829/2023-60
0036.013695/2023-87
0036.017984/2023-55
0036.017432/2023-47
0036.044731/2023-54
0049.009784/2023-80
0036.022492/2023-81
0049.004096/2023-23
0036.016473/2023-16
0036.023551/2023-39
0036.024092/2023-19
0036.023165/2023-47
0036.025690/2023-05
0036.023210/2023-63
0036.026523/2023-73
0036.019834/2023-86
0036.027422/2023-10
0049.000906/2023-72
0050.005930/2023-69
0036.030938/2023-41
0036.026740/2023-63
0036.032035/2023-03
